CustomerId,CustomerCity,CustomerCountry,CustomerFname,CustomerLname,CustomerPassword,CustomerSegment,CustomerState,CustomerStreet,CustomerZipcode
20755,Caguas,Puerto Rico,Cally,Holloway,pw20755,Consumer,PR,5365 Noble Nectar Island,725
19492,Caguas,Puerto Rico,Irene,Luna,pw19492,Consumer,PR,2679 Rustic Loop,725
19491,San Jose,EE. UU.,Gillian,Maldonado,pw19491,Consumer,CA,8510 Round Bear Gate,95125
19490,Los Angeles,EE. UU.,Tana,Tate,pw19490,Home Office,CA,3200 Amber Bend,90027
19489,Caguas,Puerto Rico,Orli,Hendricks,pw19489,Corporate,PR,8671 Iron Anchor Corners,725
19488,Tonawanda,EE. UU.,Kimberly,Flowers,pw19488,Consumer,NY,2122 Hazy Corner,14150
19487,Caguas,Puerto Rico,Constance,Terrell,pw19487,Home Office,PR,1879 Green Pine Bank,725
19486,Miami,EE. UU.,Erica,Stevens,pw19486,Corporate,FL,7595 Cotton Log Row,33162
19485,Caguas,Puerto Rico,Nichole,Olsen,pw19485,Corporate,PR,2051 Dusty Route,725
19484,San Ramon,EE. UU.,Oprah,Delacruz,pw19484,Corporate,CA,9139 Blue Blossom Court,94583
19483,Caguas,Puerto Rico,Germane,Short,pw19483,Corporate,PR,4058 Quiet Heights,725
19482,Freeport,EE. UU.,Freya,Robbins,pw19482,Consumer,NY,3243 Shady Corner,11520
19481,Salinas,EE. UU.,Cassandra,Jensen,pw19481,Corporate,CA,131 Sunny Treasure Green,93905
19480,Caguas,Puerto Rico,Natalie,Mcfadden,pw19480,Corporate,PR,2531 Wishing Square,725
19479,Peabody,EE. UU.,Kimberley,Sharpe,pw19479,Corporate,MA,6417 Silver Towers,1960
19478,Caguas,Puerto Rico,Sade,Lancaster,pw19478,Corporate,PR,257 Harvest Close,725
19477,Canovanas,Puerto Rico,Brynne,Giles,pw19477,Corporate,PR,7342 Hazy Beacon Park,729
19476,Paramount,EE. UU.,Ciara,Bird,pw19476,Corporate,CA,7787 Lazy Corners,90723
19475,Caguas,Puerto Rico,Bo,Griffin,pw19475,Consumer,PR,5136 Rustic Pioneer Estates,725
19474,Mount Prospect,EE. UU.,Kim,Simon,pw19474,Consumer,IL,1723 Tawny Via,60056
19473,Long Beach,EE. UU.,Kellie,Farmer,pw19473,Corporate,CA,7111 Silent Fox Gardens,90813
19472,Caguas,Puerto Rico,Alma,Conley,pw19472,Corporate,PR,3732 Old Mountain Bank,725
19471,Rancho Cordova,EE. UU.,Yeo,Bird,pw19471,Corporate,CA,6217 Rustic Lake Forest,95670
19470,Caguas,Puerto Rico,Lucy,Mcknight,pw19470,Corporate,PR,1082 Quiet Treasure Link,725
19469,Billings,EE. UU.,Simone,Vance,pw19469,Corporate,MT,3176 Round Gate,59102
19468,Caguas,Puerto Rico,Roary,Wheeler,pw19468,Corporate,PR,1426 Fallen Line,725
19467,Wilkes Barre,EE. UU.,Quail,Ashley,pw19467,Consumer,PA,9814 Emerald Prairie Limits,18702
19466,Caguas,Puerto Rico,Hannah,Velez,pw19466,Corporate,PR,8271 Tawny Elk Abbey,725
19465,Roseville,EE. UU.,Evelyn,Kelly,pw19465,Corporate,MI,3931 Gentle Ramp,48066
19464,Bellflower,EE. UU.,Jael,Mcfarland,pw19464,Consumer,CA,9699 Honey Rise,90706
19463,Caguas,Puerto Rico,Teagan,Romero,pw19463,Consumer,PR,1564 Rocky Terrace,725
19462,Wheaton,EE. UU.,Joan,Wilder,pw19462,Consumer,IL,4294 High Passage,60187
19461,Caguas,Puerto Rico,Basia,Watts,pw19461,Consumer,PR,5918 Golden Beacon Freeway,725
19460,Detroit,EE. UU.,Dominique,Rogers,pw19460,Consumer,MI,3915 Broad Lookout,48238
19459,Dallas,EE. UU.,Ainsley,Mathis,pw19459,Consumer,TX,7190 Silver Horse Glade,75220
19458,Caguas,Puerto Rico,Aurora,Sharp,pw19458,Corporate,PR,830 Broad Beacon Maze,725
19457,Carlisle,EE. UU.,Libby,Bray,pw19457,Corporate,PA,6127 Dewy Goose Downs,17013
19456,Dallas,EE. UU.,Amy,Lindsay,pw19456,Corporate,TX,1188 Old Abbey,75228
19455,Caguas,Puerto Rico,Ivory,Parks,pw19455,Consumer,PR,7004 Hazy Lake Townline,725
19454,Newark,EE. UU.,Karina,Prince,pw19454,Consumer,DE,2556 Umber Autoroute,19702
19453,Panorama City,EE. UU.,Deanna,Goff,pw19453,Consumer,CA,3722 Thunder Cape,91402
19452,Caguas,Puerto Rico,Dacey,Walters,pw19452,Home Office,PR,2676 Velvet Common,725
19451,Atlanta,EE. UU.,Adele,Pennington,pw19451,Home Office,GA,833 Amber Anchor Glen,30318
19450,Caguas,Puerto Rico,Sybill,Spencer,pw19450,Home Office,PR,830 Quaking Bear Grounds,725
19449,Fremont,EE. UU.,Kay,Sandoval,pw19449,Consumer,CA,1509 Middle Oak Isle,94539
19448,Caguas,Puerto Rico,Stacy,Mckinney,pw19448,Corporate,PR,9712 Fallen Robin Diversion,725
